Id, Product Name, Description, Weight, Cost, TimeStamp 
12, KANSAS Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
11, IOWA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
12, KANSAS Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
45, WISCONSIN Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
21, MISSOURI Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
11, IOWA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
37, SOUTHDAKOTA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
30, NORTHDAKOTA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
39, TEXAS Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
12, KANSAS Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
23, NEBRASKA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
45, WISCONSIN Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
45, WISCONSIN Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
1, ARKANSAS Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
20, MISSISSIPPI Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
38, TENNESSEE Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
19, MINNESOTA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
38, TENNESSEE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
37, SOUTHDAKOTA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
19, MINNESOTA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
38, TENNESSEE Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
12, KANSAS Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 12:08 PM CST
23, NEBRASKA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 12:08 PM CST
