Id, Product Name, Description, Weight, Cost, TimeStamp 
10, INDIANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
13, KENTUCKY Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
42, VIRGINIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
34, PENNSYLVANIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
25, NEWHAMPSHIRE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
13, KENTUCKY Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
36, SOUTHCAROLINA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
15, MAINE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
29, NORTHCAROLINA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
28, NEWYORK Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
10, INDIANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
29, NORTHCAROLINA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
4, CONNECTICUT Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
10, INDIANA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
44, WESTVIRGINIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
35, RHODEISLAND Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
26, NEWJERSEY Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
13, KENTUCKY Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
10, INDIANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
7, GEORGIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
5, DELAWARE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
44, WESTVIRGINIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
7, GEORGIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
29, NORTHCAROLINA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
7, GEORGIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
16, MARYLAND Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
25, NEWHAMPSHIRE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
31, OHIO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
25, NEWHAMPSHIRE Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
44, WESTVIRGINIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
10, INDIANA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
25, NEWHAMPSHIRE Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
31, OHIO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
31, OHIO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
42, VIRGINIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
42, VIRGINIA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
25, NEWHAMPSHIRE Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
17, MASSACHUSETTS Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
15, MAINE Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 1:08 PM EST
6, FLORIDA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
44, WESTVIRGINIA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 1:08 PM EST
