Id, Product Name, Description, Weight, Cost, TimeStamp 
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
3, COLORADO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
27, NEWMEXICO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
40, UTAH Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
0, ARIZONA Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
22, MONTANA Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
46, WYOMING Cog, Cogswell Cogs, 1.1, 5.5, 11/20/12 6:08 PM MT
8, IDAHO Sprocket, Spacely Sprockets, 1.1, 5.5, 11/20/12 6:08 PM MT
